,keff,keff_err,p
736,1.00048,4.30448e-05,0.368
737,0.999708,4.33419e-05,-0.014
738,0.999204,4.28012e-05,-0.26
739,0.998931,4.26048e-05,-0.386
740,1.00028,4.27097e-05,0.242
741,1.00066,4.31993e-05,0.494
742,0.999615,4.26216e-05,-0.046
743,0.999823,4.25902e-05,0.006
744,1.0006,4.28465e-05,0.398
745,1.00014,4.36019e-05,0.135
746,1.00011,4.24837e-05,0.122
747,1.00056,4.25342e-05,0.357
748,0.999222,4.31916e-05,-0.241
749,0.998652,4.27179e-05,-0.477
750,1.00061,4.27865e-05,0.415
751,0.998546,4.2833e-05,-0.473
752,1.00014,4.23179e-05,0.159
753,0.99902,4.26516e-05,-0.337
754,0.999455,4.26349e-05,-0.138
755,1.00037,4.25558e-05,0.263
756,1.00049,4.25196e-05,0.324
757,0.999296,4.29691e-05,-0.204
758,0.99984,4.29977e-05,0.016
759,0.998937,4.27642e-05,-0.377
760,1.00016,4.31709e-05,0.184
761,0.999048,4.28886e-05,-0.296
762,0.999506,4.2897e-05,-0.111
763,1.00035,4.30437e-05,0.277
764,1.0006,4.26211e-05,0.386
765,0.999149,4.23313e-05,-0.312
766,0.999596,4.26646e-05,-0.071
767,1.00064,4.33246e-05,0.423
768,0.999905,4.2767e-05,0.093
769,0.99913,4.26545e-05,-0.263
770,1.00064,4.35674e-05,0.385
771,0.999637,4.2699e-05,-0.029
772,0.999566,4.30567e-05,-0.146
773,1.00018,4.18708e-05,0.144
774,0.999531,4.27574e-05,-0.109
775,0.999308,4.2372e-05,-0.227
776,1.0,4.31617e-05,0.11
777,0.999798,4.25003e-05,-0.024
778,0.998943,4.3285e-05,-0.369
779,0.999029,4.36197e-05,-0.305
780,0.999973,4.40275e-05,0.084
781,0.998834,4.30543e-05,-0.416
782,0.998877,4.34017e-05,-0.387
783,0.999934,4.23998e-05,0.107
784,0.999913,4.33893e-05,0.056
785,1.00005,4.26421e-05,0.128
786,0.998798,4.26734e-05,-0.408
787,0.999775,4.2926e-05,-0.006
788,0.998941,4.29812e-05,-0.37
789,0.998811,4.24121e-05,-0.41
790,1.00038,4.26952e-05,0.292
791,1.00054,4.33801e-05,0.341
792,0.999853,4.2769e-05,0.032
793,1.00072,4.33066e-05,0.497
794,1.00071,4.31073e-05,0.491
795,1.00047,4.30742e-05,0.331
796,1.0003,4.30335e-05,0.249
797,0.999751,4.27531e-05,-0.056
798,1.00072,4.24477e-05,0.448
799,0.999053,4.26812e-05,-0.317
800,1.00011,4.29941e-05,0.132
801,0.999806,4.28337e-05,-0.013
802,0.998769,4.28071e-05,-0.426
803,1.00025,4.37225e-05,0.252
804,1.00052,4.35824e-05,0.392
805,0.9995,4.2971e-05,-0.131
806,0.999592,4.33128e-05,-0.1
807,1.00072,4.21728e-05,0.468
808,0.999464,4.31167e-05,-0.16
809,0.999004,4.26802e-05,-0.366
810,0.998996,4.25889e-05,-0.349
811,0.998999,4.21876e-05,-0.323
812,0.99916,4.36555e-05,-0.276
813,0.998576,4.29875e-05,-0.49
814,1.00014,4.29645e-05,0.141
815,1.00064,4.27227e-05,0.419
816,0.998883,4.23236e-05,-0.398
817,1.00027,4.25256e-05,0.215
818,0.999693,4.28101e-05,-0.076
819,1.00069,4.27087e-05,0.48
820,0.999482,4.30701e-05,-0.147
821,0.999309,4.30993e-05,-0.208
822,0.999302,4.21782e-05,-0.22
823,1.00028,4.31728e-05,0.257
824,0.999204,4.29982e-05,-0.274
825,1.00016,4.30386e-05,0.158
826,0.999539,4.27276e-05,-0.133
827,0.998932,4.29981e-05,-0.356
828,1.00038,4.25696e-05,0.312
829,0.998573,4.23986e-05,-0.492
830,0.998673,4.2977e-05,-0.455
831,1.00059,4.30149e-05,0.405
832,0.998767,4.27286e-05,-0.423
833,1.00017,4.23726e-05,0.193
834,0.999953,4.31343e-05,0.049
835,1.00038,4.33116e-05,0.256
836,1.00072,4.22907e-05,0.474
837,1.00012,4.28103e-05,0.147
838,1.00018,4.2702e-05,0.218
839,0.999998,4.34055e-05,0.072
840,1.00055,4.22102e-05,0.359
841,0.999948,4.38312e-05,0.068
842,0.999624,4.24967e-05,-0.101
843,0.999183,4.37311e-05,-0.283
844,0.998707,4.29864e-05,-0.456
845,0.99911,4.30299e-05,-0.308
846,0.999664,4.2619e-05,-0.032
